"year","number","question","answer","choice1","choice2","choice3","choice4","choice5"
"2023","1","森林・林業基本計画（令和3（2021）年）における、森林の有する多面的機能を発揮するうえでの望ましい森林の姿の例示に関する次の記述のうち、最も不適切なものはどれか。","1","①山地災害防止機能／土壌保全機能に応じた望ましい森林は、下層植生とともに木の根が発達することにより、水を蓄える隙間に富んだ浸透・保水能力の高い森林土壌を有する森林であって、必要に応じて浸透を促進する施設が整備されている森林である。","②快適環境形成機能に応じた望ましい森林は、高が高く枝葉が多く茂っているなど遮厳能力や汚染物質の吸着能力が高く，諸被害に対する抵抗性が高い森林である。","③生物多様性保全機能は、すべての森林が発揮する機能であるが、属地的に機能が発揮されるものを示せば、原生的な森林生態系、希少な生物が生育・生息する森林、陸域・水域にまたがり特有の生物が生育・生息する渓（けいはん）林等、その土地固有の生物群集を構成する森林である。","④木材等生産機能に応じた望ましい森林は、林木の生育に適した土壌を有し、木材として利用するうえで良好な木により構成され成長量が大きい森林であって、林道等の基盤施設が適切に整備されている森林である。","⑤地球環境保全機能は、二酸化炭素の吸収や炭素の固定，蒸発散作用等により地球環境を調節する属地性のない機能であり、すべての森林が発揮するものである。"
"2023","2","森林計画制度に関する次の記述のうち、最も不適切なものはどれか。","4","①森林・林業基本計画は、政府が、森林及び林業に関する施策の総合的かつ計画的な推進を図るために定める計画で、概ね5年ごとに変更するものとされている。","②全国森林計画は，農林水産大臣が、森林・林業基本計画に即し、かつ、保安施設の整備の状況等を勘案し、全国の森林につき、5年ごとに、15年を1期としてたてる計画である。","③地域森林計画は、都道府県知事が、全国森林計画に即して、森林計画区別に、その森林計画区に係る民有林につき、5年ごとに、10年を1期としてたてる計画である。","④市町村森林整備計画は、市町村が、その区域内にある地域森林計画の対象となっている民有林につき，5年を1期としてたてる計画である。","⑤森林経営計画は，森林所有者又は森林所有者から森林の経営の委託を受けた者が、自ちが森林の経営を行う森林であってこれを一体として整備する森林を対象に、5年を1期として作成する計画である。"
"2023","3","保育作業の実施時期に関するの記述のうち、最も不適切なものはどれか。","2","①下刈りは、植栽木が雑草木より大きくなるまでの間を目安に、初夏から盛夏に1回又は2回行う。","②除伐は、下刈り後から林分閉鎖までの間，広葉樹を除する場合、萌芽力の強い厳冬期に行うと効率が良い。","③つる切りは、下刈り後から林分閉鎖までの間、及び除間伐直後、つるが根の貯蔵養分を使い果たした7月頃に行う。","④枝打ちは、生産目的によるが、おおよそ幹径6.5cmまでに行えば四面無節の材がとれる。厳冬期と皮のむけやすい成長期の実施は避ける。","⑤間伐は、おおよそ10～20年生で開始し、幼壮齢期は5～10年間隔、高齢期は10～20年間隔で繰り返す。作業は成長休止期に実施し、風害・雪害の発生時期は避ける。"
"2023","4","林分の混み合い度の指標に関する次の記述のうち、最も不適切なものはどれか。","5","①相対幹距比は、20%くらいが適当な混み具合で、17%を下回ると混み過ぎ、14%以下であればかなりの混み過ぎであるとされている。","②収量比数は、一般に0.8以上が混み過ぎとされている。","③冠疎密度は、保安林整備や森林経営計画での間伐の基準において用いられており、冠疎密度0.8以上が混み合った状態であるとされている。","④形状比が80を超えると気象害に対して弱い掛形だとされていることから、この値を超えるような林木が多い林分は混み過ぎであるとされている。","⑤冠長率が80%以上の林木が多くなると、混み過ぎであるとされている。"
"2023","5","列状間伐の特徴（優れた点・留意する点）に関する次の記述のうち、最も不適切なものはどれか。","2","①かかり木になりにくく，伐倒の作業効率や安全性が高い。","②選木は定性的に行うため、容易である。","③伐採列に沿って集材できるため、集材が容易である。","④優勢木と劣勢木の割合は、間伐前後で変わらないため、間伐後に形質不良木も残る。","⑤残存列が広い場合，採列に面しない残存木に間伐効果が及びにくい。"
"2023","6","苗木に関する次の記述のうち、最も不適切なものはどれか。","5","①林野庁では、花粉症対策に資する苗木の生産拡大に向けて、少花粉スギ等の種子を短期間で効率的に生産する「ミニチュア採種園」や苗木生産施設の整備等に取り組んでいる。","②精英の中でも特に優れたものを交配した苗木の中から選ばれた第二世代以降精英樹（エリートツリー）は、初期成長の早さが特徴で、材質や通直性にも優れている。","③林木の苗木を作る方法は、実生繁殖すなわち種子から苗木を育成する有性繁殖法と、さし木、接ぎ木、分根，組織培養等により苗木を育成する無性繁殖法とに分けることができる。","④実生苗木生産にとって、種子確保は重要な課題であり、木を観察して種子の豊凶を予測し、豊作年に多くの種子を採取して、これを長期間保存しておく技術が必要である。","⑤コンテナ苗は、容器内部にリブ（縦筋状の突起）を設け、容器の底面を閉めるなどにより、根が培地に張り巡らされ、根鉢が容易に崩れない状態（成型性）が保たれ、根巻きが進むのが特徴である。"
"2023","7","森林の作業法に関する次の記述のうち、最も不適切なものはどれか。","3","①皆伐作業は、林分を同時に伐採し、主に植栽によって一様に更新する作業法である。","②択伐作業は、単木若しくは群状に伐採を行い、天然更新を前提とした作業法である。","③漸伐作業は、林分を予備伐、下種伐、後伐に分けて伐採を行い、人工更新を前提とした作業法である。","④萌芽作業は、幹又は枝を伐採した後の残存部分から発生した芽によって更新する作業法である。","⑤中林作業は、同一林地において、上木は高林作業による用材生産を、下木は低林作業による新炭材生産を目的とする混合形態の作業法である。"
"2023","8","森林風致における景観等に関する次の記述のうち、最も不適切なものはどれか。","4","①景観は、視点から視対象までの視距離によって、近景域、中景域、遠景域の大きく3つの領域に区分される。","②景観は、景観工学の立場からは「人間を取り巻く環境のながめ」とされ、景観生態学の立場では「地表面のすべての事物がつくり出すシステム」とされている。","③ビスタ（vista，見通景）とは、広幅員の直線街路や園路に建築物や並木によって強い統一感と軸性を与え、視線の消失点をアイストップと呼ばれる借景物や建築物で受け止める景観演出の技法である。","④固定した視点から認識される静的な景観を内部景観といい，視点を移動させることで次々と移り変わる連続した景観を外部景観という。","⑤山の稜線が空を背景として描く輪郭線を、景観面からスカイラインと呼ぶ。建物等がスカイラインの連続性を切断すると景観が損なわれる要因となりやすい。"
"2023","9","国際的な森林の整備・保全の取組に関する次の記述のうち、最も不適切なものはどれか。","5","①国際連合食糧農業機関（FAO）の「世界森林資源評価2020」によると、令和2（2020）年の世界の森林面積は約41億haであり、世界の陸地面積の31%を占めているが、森林面積はアフリカ、南米等の熱帯林を中心に世界全体としては依然として減り続けている。","②持続可能な森林経営の進展を評価するため、国際的な「基準・指標」の作成及び評価が複数の枠組みで進められており、我が国が参加する「モントリオール・プロセス」では、平成20（2008）年に指標の一部見直しが行われ、現在の基準・指標は7基準54指標から構成されている。","③「気候変動に関する国際連合枠組条約（国連気候変動枠組条約（UNFCCC））」は、地球温暖化防止のための国際的な枠組みであり、大気中の温室効果ガス濃度を安定化させることを目的としている。","④令和3（2021）年10月に改訂された「地球温暖化対策計画」では、2050年カーボンニュートラルの実現に向け、和12（2030）年度の日本の温室効果ガス排出削減目標を引き上げ、平成25（2013）年度比46%削減を目指し、さらに50%の高みに向けて挑戦を続けることとしている。","⑤国際熱帯木材機関（ITTO）は、熱帯林の持続可能な経営の促進と熱帯木材貿易の発展を目的として昭和61（1986）年に設立された国際機関であり、ジュネーブに本部を置いている。令和4（2022）年7月現在の加盟国は、生産国と消費国の計120か国及びEUである。"
"2023","10","森林の被害に関する次の記述のうち、最も不適切なものはどれか。","1","①森林の虫害は、いわゆる虫による木への害であり、スギカミキリ、スギノアカネトラカミキリは、いずれも薬や芽、枝などに奇形を生じさせる虫えい形成害虫である。","②水分は、木の生育上不可な物質である。水分の過不足により木に様々な生理的障害をもたらす気象害等としては、千（乾）害，湿害などがある。","③森林の病害の多くは、病原体の木への寄生によって起こり、伝染性である。葉の病害にはうどんこ病，枝・幹の病害にはカラマツの先枯れ病、根の病害にはナラタケ病などがある。","④森林の獣害とは、森林に生息する獣類（哺乳類）による害であるが、林木を加害する種には、ニホンジカ、ツキノワグマ、野ネズミ類などがある。","⑤木と温度環境は密接な関係にある。その温度に関係する寒さの害には、冷温障害、寒害，凍害，早霜害、寒風害，凍裂などがある。"
